2014-10-17,7542,5306,2014-10-17,16406,16336,2014-05-15,244,208,2014-04-16,5746,760,2014-01-14,80086,22178,2015-01-21,6072,492,2015-02-26,494,50
2014-10-16,3002,46190,2014-10-16,19500,12570,2014-05-14,538,44,2014-04-15,7892,12788,2014-01-13,15630,11632,2015-01-20,5188,3106,2015-02-25,366,570
2014-10-15,1510,5190,2014-10-15,22868,20934,2014-05-13,88,310,2014-04-14,5186,16836,2014-01-10,13126,3738,2015-01-16,2324,5952,2015-02-24,5896,3470
2014-10-14,6590,2320,2014-10-14,11714,8000,2014-05-12,186,238,2014-04-11,15254,2852,2014-01-09,3758,5078,2015-01-15,1304,4206,2015-02-23,658,1160
2014-10-13,7336,2800,2014-10-13,9584,7230,2014-05-09,168,244,2014-04-10,1526,2456,2014-01-08,17476,18262,2015-01-14,884,728,2015-02-20,2920,890
2014-10-10,11710,6722,2014-10-10,25200,9644,2014-05-08,158,72,2014-04-09,412,1014,2014-01-07,7944,5806,2015-01-13,3444,1056,2015-02-19,722,132
2014-10-09,6538,15540,2014-10-09,12710,7290,2014-05-07,188,926,2014-04-08,1920,5012,2014-01-06,23182,9852,2015-01-12,666,1446,2015-02-18,2412,466
2014-10-08,5000,12514,2014-10-08,9596,9408,2014-05-06,1562,56,2014-04-07,2022,3346,2014-01-03,11916,8810,2015-01-09,98,262,2015-02-17,10672,610
2014-10-07,4534,4628,2014-10-07,4022,7942,2014-05-05,888,1160,2014-04-04,2666,1926,2014-01-02,13796,4550,2015-01-08,1290,868,2015-02-13,8298,650
2014-10-06,13606,7534,2014-10-06,2098,5586,2014-05-02,374,186,2014-04-03,1522,4170,2013-12-31,23582,6184,2015-01-07,12702,1038,2015-02-12,3648,1216
2014-10-03,9336,2514,2014-10-03,5034,11882,2014-05-01,198,118,2014-04-02,3092,8562,2013-12-30,1418,1320,2015-01-06,4526,3270,2015-02-11,1176,812
2014-10-02,8868,10544,2014-10-02,8170,16262,2014-04-30,1712,86,2014-04-01,3832,4280,2013-12-27,1500,3158,2015-01-05,532,1288,2015-02-10,1410,3168
2014-10-01,17366,3704,2014-10-01,5232,2814,2014-04-29,268,68,2014-03-31,6978,7956,2013-12-26,12634,3060,2015-01-02,176,44,2015-02-09,382,678
2014-09-30,722,962,2014-09-30,4242,2262,2014-04-28,1740,288,2014-03-28,5464,8262,2013-12-24,3578,3816,2014-12-31,486,454,2015-02-06,14192,682
2014-09-29,22692,42306,2014-09-29,4882,2066,2014-04-25,4840,1150,2014-03-27,19916,8484,2013-12-23,3680,1570,2014-12-30,98,2366,2015-02-05,392,1210
2014-09-26,2190,24086,2014-09-26,5584,1410,2014-04-24,15242,1764,2014-03-26,18190,12528,2013-12-20,14780,12794,2014-12-29,1160,1198,2015-02-04,940,1196
2014-09-25,1356,3468,2014-09-25,3778,3020,2014-04-23,1284,614,2014-03-25,5550,5666,2013-12-19,23124,9652,2014-12-26,1102,330,2015-02-03,3422,562
2014-09-24,11374,21472,2014-09-24,9938,3214,2014-04-22,1624,1742,2014-03-24,3602,2898,2013-12-18,8112,4126,2014-12-24,162,156,2015-02-02,2552,1020
2014-09-23,2824,12516,2014-09-23,3576,7058,2014-04-21,424,274,2014-03-21,13280,5206,2013-12-17,16096,12108,2014-12-23,1482,3026,2015-01-30,2976,1154
2014-09-22,2214,1850,2014-09-22,5670,11138,2014-04-17,1268,288,2014-03-20,4570,4398,2013-12-16,29374,12350,2014-12-22,3740,796,2015-01-29,2272,1318
2014-09-19,5744,2106,2014-09-19,2470,2326,2014-04-16,218,172,2014-03-19,7488,4520,2013-12-13,83620,19290,2014-12-19,5142,10748,2015-01-28,2678,752
2014-09-18,652,1334,2014-09-18,1060,1340,2014-04-15,242,70,2014-03-18,14940,4054,2013-12-12,29766,6970,2014-12-18,14988,3544,2015-01-27,3858,1820
2014-09-17,3708,4204,2014-09-17,2532,2380,2014-04-14,174,46,2014-03-17,7346,6682,2013-12-11,11190,2390,2014-12-17,4230,1140,2015-01-26,4488,1198
2014-09-16,14942,12974,2014-09-16,4606,2988,2014-04-11,470,458,2014-03-14,3734,2196,2013-12-10,15368,2438,2014-12-16,4808,6372,2015-01-23,8934,5446
2014-09-15,3318,9166,2014-09-15,3620,9180,2014-04-10,320,74,2014-03-13,4916,712,2013-12-09,7720,6120,2014-12-15,548,278,2015-01-22,34200,6536
2014-09-12,3828,2400,2014-09-12,12404,10486,2014-04-09,478,74,2014-03-12,10570,4468,2013-12-06,26776,10704,2014-12-12,172,1418,2015-01-21,1682,1072
2014-09-11,3886,9040,2014-09-11,24174,1438,2014-04-08,184,402,2014-03-11,10274,744,2013-12-05,18096,22484,2014-12-11,746,2782,2015-01-20,3434,976
2014-09-10,834,2334,2014-09-10,26194,15462,2014-04-07,186,232,2014-03-10,2700,2658,2013-12-04,25494,12234,2014-12-10,226,500,2015-01-16,6002,1598
2014-09-09,458,4480,2014-09-09,3278,4490,2014-04-04,606,512,2014-03-07,16878,1806,2013-12-03,16890,16626,2014-12-09,374,540,2015-01-15,1820,12344
2014-09-08,14304,9404,2014-09-08,2118,14026,2014-04-03,1240,614,2014-03-06,7260,6228,2013-12-02,37192,10588,2014-12-08,2522,574,2015-01-14,4010,18436
2014-09-05,2390,4242,2014-09-05,2116,5750,2014-04-02,19070,60,2014-03-05,8434,7246,2013-11-29,12436,5140,2014-12-05,178,1010,2015-01-13,63386,1680
