2014-10-09,6538,15540,2015-02-18,2412,466,2013-12-03,766,88,2014-10-09,12710,7290,2014-08-11,940,540,2014-05-07,188,926,2015-02-19,122,456,2014-04-08,1920,5012,2015-01-21,1346,2812,2014-12-26,18,8,2015-02-25,88,438,2014-05-07,82,20,2014-12-15,366,52,2015-01-23,5008,852,2014-11-04,832,530,2015-01-12,666,1446,2014-01-27,1632,590,2014-01-06,23182,9852
2014-10-08,5000,12514,2015-02-17,10672,610,2013-12-02,374,228,2014-10-08,9596,9408,2014-08-08,128,572,2014-05-06,1562,56,2015-02-18,110,92,2014-04-07,2022,3346,2015-01-20,2166,94,2014-12-23,242,4,2015-02-24,182,20,2014-05-06,2,142,2014-12-12,98,340,2015-01-22,1804,346,2014-11-03,1086,588,2015-01-09,98,262,2014-01-24,1480,302,2014-01-03,11916,8810
2014-10-07,4534,4628,2015-02-13,8298,650,2013-11-29,536,38,2014-10-07,4022,7942,2014-08-07,800,322,2014-05-05,888,1160,2015-02-17,176,472,2014-04-04,2666,1926,2015-01-16,2438,16070,2014-12-22,6,0,2015-02-23,174,16,2014-05-02,148,526,2014-12-11,172,0,2015-01-21,2348,596,2014-10-31,3602,2874,2015-01-08,1290,868,2014-01-23,1218,1146,2014-01-02,13796,4550
2014-10-06,13606,7534,2015-02-12,3648,1216,2013-11-27,448,188,2014-10-06,2098,5586,2014-08-06,1882,1302,2014-05-02,374,186,2015-02-13,148,78,2014-04-03,1522,4170,2015-01-15,2118,1916,2014-12-19,124,0,2015-02-20,146,274,2014-05-01,156,314,2014-12-10,632,0,2015-01-20,5470,678,2014-10-30,1670,1796,2015-01-07,12702,1038,2014-01-22,15010,1302,2013-12-31,23582,6184
2014-10-03,9336,2514,2015-02-11,1176,812,2013-11-26,1004,312,2014-10-03,5034,11882,2014-08-05,1526,1382,2014-05-01,198,118,2015-02-12,126,36,2014-04-02,3092,8562,2015-01-14,1440,7814,2014-12-18,66,2,2015-02-19,72,24,2014-04-30,20,94,2014-12-09,18,0,2015-01-16,2814,746,2014-10-29,10528,5290,2015-01-06,4526,3270,2014-01-21,11996,894,2013-12-30,1418,1320
2014-10-02,8868,10544,2015-02-10,1410,3168,2013-11-25,402,232,2014-10-02,8170,16262,2014-08-04,1794,2912,2014-04-30,1712,86,2015-02-11,106,1098,2014-04-01,3832,4280,2015-01-13,116,476,2014-12-17,150,24,2015-02-18,602,6624,2014-04-23,42,0,2014-12-08,120,6,2015-01-15,2480,508,2014-10-28,242,284,2015-01-05,532,1288,2014-01-17,35618,9288,2013-12-27,1500,3158
2014-10-01,17366,3704,2015-02-09,382,678,2013-11-22,660,96,2014-10-01,5232,2814,2014-08-01,230,1450,2014-04-29,268,68,2015-02-10,48,14,2014-03-31,6978,7956,2015-01-12,196,512,2014-12-15,206,4,2015-02-17,96,146,2014-04-22,40,312,2014-12-05,20,30,2015-01-14,2554,926,2014-10-27,282,3186,2015-01-02,176,44,2014-01-16,1880,1692,2013-12-26,12634,3060
2014-09-30,722,962,2015-02-06,14192,682,2013-11-21,272,126,2014-09-30,4242,2262,2014-07-31,1492,156,2014-04-28,1740,288,2015-02-09,46,232,2014-03-28,5464,8262,2015-01-09,340,70,2014-12-12,50,228,2015-02-13,104,0,2014-04-17,942,890,2014-12-04,198,32,2015-01-13,12890,3000,2014-10-24,396,66,2014-12-31,486,454,2014-01-15,6932,4018,2013-12-24,3578,3816
2014-09-29,22692,42306,2015-02-05,392,1210,2013-11-20,588,544,2014-09-29,4882,2066,2014-07-30,1374,196,2014-04-25,4840,1150,2015-02-06,120,68,2014-03-27,19916,8484,2015-01-08,1802,12366,2014-12-11,386,16,2015-02-12,196,8,2014-04-14,194,484,2014-12-03,102,54,2015-01-12,910,142,2014-10-23,936,4234,2014-12-30,98,2366,2014-01-14,1260,266,2013-12-23,3680,1570
2014-09-26,2190,24086,2015-02-04,940,1196,2013-11-19,1418,120,2014-09-26,5584,1410,2014-07-29,76,1652,2014-04-24,15242,1764,2015-02-05,88,12,2014-03-26,18190,12528,2015-01-07,3522,3444,2014-12-10,150,2,2015-02-11,2336,22,2014-04-04,4,0,2014-12-02,92,0,2015-01-09,1042,528,2014-10-22,286,118,2014-12-29,1160,1198,2014-01-13,382,1568,2013-12-20,14780,12794
